xmin	ymin	xmax	ymax	breed
25	10	276	498	chihuahua
49	9	393	493	chihuahua
142	43	335	250	chihuahua
0	27	312	498	chihuahua
90	104	242	452	chihuahua
17	38	451	253	chihuahua
39	191	145	383	chihuahua
76	30	363	375	chihuahua
59	37	229	179	chihuahua
317	95	558	459	chihuahua
391	111	437	167	chihuahua
211	0	696	516	chihuahua
121	90	302	343	chihuahua
0	16	461	436	chihuahua
146	0	350	239	chihuahua
5	4	350	252	chihuahua
159	186	250	330	chihuahua
194	111	275	299	chihuahua
19	3	324	350	chihuahua
26	42	304	487	chihuahua
151	94	438	230	chihuahua
176	29	379	333	chihuahua
111	42	248	314	chihuahua
156	242	334	498	chihuahua
1	8	432	316	chihuahua
96	133	373	495	chihuahua
166	110	346	248	chihuahua
142	123	546	850	chihuahua
51	2	487	478	chihuahua
60	153	331	498	chihuahua
58	143	190	332	chihuahua
51	13	418	331	chihuahua
0	6	327	493	chihuahua
24	10	277	273	chihuahua
2	6	356	237	chihuahua
25	0	465	374	chihuahua
55	85	327	437	chihuahua
0	14	225	325	chihuahua
152	107	228	247	chihuahua
8	7	456	397	chihuahua
65	50	249	404	chihuahua
176	73	441	366	chihuahua
46	98	327	498	chihuahua
189	107	263	212	chihuahua
178	144	231	249	chihuahua
113	45	368	486	chihuahua
40	16	260	239	chihuahua
79	35	324	322	chihuahua
125	26	372	314	chihuahua
201	88	417	239	chihuahua
123	2	305	374	chihuahua
108	87	405	303	chihuahua
188	140	325	307	chihuahua
105	39	229	217	chihuahua
179	53	326	191	chihuahua
23	0	351	287	chihuahua
60	6	495	597	chihuahua
16	23	289	355	chihuahua
210	57	468	332	chihuahua
30	15	202	224	chihuahua
121	28	256	192	chihuahua
71	78	320	450	chihuahua
399	314	562	525	chihuahua
86	42	356	492	chihuahua
164	137	456	335	chihuahua
101	106	318	343	chihuahua
155	183	320	427	chihuahua
98	32	285	258	chihuahua
100	21	451	374	chihuahua
0	66	264	470	chihuahua
155	117	466	297	chihuahua
0	14	478	304	chihuahua
2	1	389	331	chihuahua
27	27	174	196	chihuahua
25	9	282	315	chihuahua
78	67	424	326	chihuahua
2	7	199	227	chihuahua
152	216	275	370	chihuahua
67	24	499	308	chihuahua
155	24	418	316	chihuahua
128	26	406	442	chihuahua
